Tanggal;Beras;Daging Ayam;Telur Ayam;Cabai Merah;Cabai Rawit
02/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
03/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
04/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
05/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
06/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
09/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
10/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
11/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
12/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
13/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
16/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
17/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
18/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
19/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
20/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
23/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
24/ 01/ 2023;6,450;22,250;28,200;36,500;41,000
25/ 01/ 2023;6,550;19,950;25,800;35,000;40,000
26/ 01/ 2023;6,550;19,950;25,800;35,000;40,000
27/ 01/ 2023;6,550;17,350;25,800;35,000;40,000
30/ 01/ 2023;6,550;17,350;25,800;35,000;40,000
31/ 01/ 2023;6,550;17,350;25,800;35,000;40,000
01/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
02/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
03/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
06/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
07/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
08/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
09/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
10/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
13/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
14/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
15/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
16/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
17/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
20/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
21/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
22/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
23/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
24/ 02/ 2023;6,550;17,350;25,800;35,000;40,000
27/ 02/ 2023;6,500;-;21,900;38,000;39,000
28/ 02/ 2023;6,500;-;21,900;38,000;39,000
01/ 03/ 2023;6,500;-;21,900;38,000;39,000
02/ 03/ 2023;6,500;-;21,900;38,000;39,000
03/ 03/ 2023;6,500;-;21,900;38,000;39,000
06/ 03/ 2023;6,500;-;21,900;38,000;39,000
07/ 03/ 2023;6,500;-;21,900;38,000;39,000
08/ 03/ 2023;6,500;-;21,900;38,000;39,000
09/ 03/ 2023;6,500;-;21,900;38,000;39,000
10/ 03/ 2023;6,500;-;21,900;38,000;39,000
13/ 03/ 2023;6,500;-;21,900;38,000;39,000
14/ 03/ 2023;6,500;-;21,900;38,000;39,000
15/ 03/ 2023;6,500;-;21,900;38,000;39,000
16/ 03/ 2023;6,500;-;21,900;38,000;39,000
17/ 03/ 2023;6,500;-;21,900;38,000;39,000
20/ 03/ 2023;6,500;-;21,900;38,000;39,000
21/ 03/ 2023;6,500;-;21,900;38,000;39,000
22/ 03/ 2023;6,500;-;21,900;38,000;39,000
23/ 03/ 2023;6,500;-;21,900;38,000;39,000
24/ 03/ 2023;6,500;-;21,900;38,000;39,000
27/ 03/ 2023;6,500;19,200;25,750;24,200;45,000
28/ 03/ 2023;6,500;19,200;25,750;24,200;45,000
29/ 03/ 2023;6,500;19,200;25,750;24,200;45,000
30/ 03/ 2023;6,500;19,200;25,750;24,200;45,000
31/ 03/ 2023;6,500;19,200;25,750;24,200;45,000
03/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
04/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
05/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
06/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
07/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
10/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
11/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
12/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
13/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
14/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
17/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
18/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
19/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
20/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
21/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
24/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
25/ 04/ 2023;6,500;19,200;25,750;24,200;45,000
26/ 04/ 2023;6,250;16,000;24,700;17,700;22,000
27/ 04/ 2023;6,250;16,000;24,700;17,700;22,000
28/ 04/ 2023;6,250;16,000;24,700;17,750;22,000
01/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
02/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
03/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
04/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
05/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
08/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
09/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
10/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
11/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
12/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
15/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
16/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
17/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
18/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
19/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
22/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
23/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
24/ 05/ 2023;6,250;16,000;24,700;17,750;22,000
25/ 05/ 2023;6,250;27,150;28,400;10,000;18,500
26/ 05/ 2023;6,250;27,150;28,400;10,000;18,500
29/ 05/ 2023;6,250;27,150;28,400;10,000;18,500
30/ 05/ 2023;6,250;27,150;28,400;10,000;18,500
31/ 05/ 2023;6,250;27,150;28,400;10,000;18,500
01/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
02/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
05/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
06/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
07/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
08/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
09/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
12/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
13/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
14/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
15/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
16/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
19/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
20/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
21/ 06/ 2023;6,250;27,150;28,400;10,000;18,500
