Tanggal,Beras,Daging Ayam,Telur Ayam,Cabai Merah,Cabai Rawit
27/ 03/ 2023,6500,19200,25750,24200,45000
28/ 03/ 2023,6500,19200,25750,24200,45000
29/ 03/ 2023,6500,19200,25750,24200,45000
30/ 03/ 2023,6500,19200,25750,24200,45000
31/ 03/ 2023,6500,19200,25750,24200,45000
03/ 04/ 2023,6500,19200,25750,24200,45000
04/ 04/ 2023,6500,19200,25750,24200,45000
05/ 04/ 2023,6500,19200,25750,24200,45000
06/ 04/ 2023,6500,19200,25750,24200,45000
07/ 04/ 2023,6500,19200,25750,24200,45000
10/ 04/ 2023,6500,19200,25750,24200,45000
11/ 04/ 2023,6500,19200,25750,24200,45000
12/ 04/ 2023,6500,19200,25750,24200,45000
13/ 04/ 2023,6500,19200,25750,24200,45000
14/ 04/ 2023,6500,19200,25750,24200,45000
17/ 04/ 2023,6500,19200,25750,24200,45000
18/ 04/ 2023,6500,19200,25750,24200,45000
19/ 04/ 2023,6500,19200,25750,24200,45000
20/ 04/ 2023,6500,19200,25750,24200,45000
21/ 04/ 2023,6500,19200,25750,24200,45000
24/ 04/ 2023,6500,19200,25750,24200,45000
25/ 04/ 2023,6500,19200,25750,24200,45000
26/ 04/ 2023,6250,16000,24700,17700,22000
27/ 04/ 2023,6250,16000,24700,17700,22000
28/ 04/ 2023,6250,16000,24700,17750,22000
01/ 05/ 2023,6250,16000,24700,17750,22000
02/ 05/ 2023,6250,16000,24700,17750,22000
03/ 05/ 2023,6250,16000,24700,17750,22000
04/ 05/ 2023,6250,16000,24700,17750,22000
05/ 05/ 2023,6250,16000,24700,17750,22000
08/ 05/ 2023,6250,16000,24700,17750,22000
09/ 05/ 2023,6250,16000,24700,17750,22000
10/ 05/ 2023,6250,16000,24700,17750,22000
11/ 05/ 2023,6250,16000,24700,17750,22000
12/ 05/ 2023,6250,16000,24700,17750,22000
15/ 05/ 2023,6250,16000,24700,17750,22000
16/ 05/ 2023,6250,16000,24700,17750,22000
17/ 05/ 2023,6250,16000,24700,17750,22000
18/ 05/ 2023,6250,16000,24700,17750,22000
19/ 05/ 2023,6250,16000,24700,17750,22000
22/ 05/ 2023,6250,16000,24700,17750,22000
23/ 05/ 2023,6250,16000,24700,17750,22000
24/ 05/ 2023,6250,16000,24700,17750,22000
25/ 05/ 2023,6250,27150,28400,10000,18500
26/ 05/ 2023,6250,27150,28400,10000,18500
29/ 05/ 2023,6250,27150,28400,10000,18500
30/ 05/ 2023,6250,27150,28400,10000,18500
31/ 05/ 2023,6250,27150,28400,10000,18500
01/ 06/ 2023,6250,27150,28400,10000,18500
02/ 06/ 2023,6250,27150,28400,10000,18500
05/ 06/ 2023,6250,27150,28400,10000,18500
06/ 06/ 2023,6250,27150,28400,10000,18500
07/ 06/ 2023,6250,27150,28400,10000,18500
08/ 06/ 2023,6250,27150,28400,10000,18500
09/ 06/ 2023,6250,27150,28400,10000,18500
12/ 06/ 2023,6250,27150,28400,10000,18500
13/ 06/ 2023,6250,27150,28400,10000,18500
14/ 06/ 2023,6250,27150,28400,10000,18500
15/ 06/ 2023,6250,27150,28400,10000,18500
16/ 06/ 2023,6250,27150,28400,10000,18500
19/ 06/ 2023,6250,27150,28400,10000,18500
20/ 06/ 2023,6250,27150,28400,10000,18500
21/ 06/ 2023,6250,27150,28400,10000,18500
